Attribute name	Global identifier	Data type
---------------------------------------------------------------------------
ASFLeakyBucketPairs	g_wszASFLeakyBucketPairs	WMT_TYPE_BINARY
AspectRatioX	g_wszWMAspectRatioX	WMT_TYPE_DWORD
AspectRatioY	g_wszWMAspectRatioY	WMT_TYPE_DWORD
Author	g_wszWMAuthor	WMT_TYPE_STRING
AverageLevel	g_wszAverageLevel	WMT_TYPE_DWORD
BannerImageData	g_wszWMBannerImageData	WMT_TYPE_BINARY
BannerImageType	g_wszWMBannerImageType	WMT_TYPE_DWORD
BannerImageURL	g_wszWMBannerImageURL	WMT_TYPE_STRING
Bitrate	g_wszWMBitrate	WMT_TYPE_DWORD
Broadcast	g_wszWMBroadcast	WMT_TYPE_BOOL
BufferAverage	g_wszBufferAverage	WMT_TYPE_DWORD
Can_Skip_Backward	g_wszWMSkipBackward	WMT_TYPE_BOOL
Can_Skip_Forward	g_wszWMSkipForward	WMT_TYPE_BOOL
Copyright	g_wszWMCopyright	WMT_TYPE_STRING
CopyrightURL	g_wszWMCopyrightURL	WMT_TYPE_STRING
CurrentBitrate	g_wszWMCurrentBitrate	WMT_TYPE_DWORD
Description	g_wszWMDescription	WMT_TYPE_STRING
DRM_ContentID	g_wszWMDRM_ContentID	WMT_TYPE_STRING
DRM_DRMHeader_ContentDistributor	g_wszWMDRM_DRMHeader_ContentDistributor	WMT_TYPE_STRING
DRM_DRMHeader_ContentID	g_wszWMDRM_DRMHeader_ContentID	WMT_TYPE_STRING
DRM_DRMHeader_IndividualizedVersion	g_wszWMDRM_DRMHeader_IndividualizedVersion	WMT_TYPE_STRING
DRM_DRMHeader_KeyID	g_wszWMDRM_DRMHeader_KeyID	WMT_TYPE_STRING
DRM_DRMHeader_LicenseAcqURL	g_wszWMDRM_DRMHeader_LicenseAcqURL	WMT_TYPE_STRING
DRM_DRMHeader_SubscriptionContentID	g_wszWMDRM_DRMHeader_SubscriptionContentID	WMT_TYPE_STRING
DRM_DRMHeader	g_wszWMDRM_DRMHeader	WMT_TYPE_STRING
DRM_IndividualizedVersion	g_wszWMDRM_IndividualizedVersion	WMT_TYPE_STRING
DRM_KeyID	g_wszWMDRM_KeyID	WMT_TYPE_STRING
DRM_LASignatureCert	g_wszWMDRM_LASignatureCert	WMT_TYPE_STRING
DRM_LASignatureLicSrvCert	g_wszWMDRM_LASignatureLicSrvCert	WMT_TYPE_STRING
DRM_LASignaturePrivKey	g_wszWMDRM_LASignaturePrivKey	WMT_TYPE_STRING
DRM_LASignatureRootCert	g_wszWMDRM_LASignatureRootCert	WMT_TYPE_STRING
DRM_LicenseAcqURL	g_wszWMDRM_LicenseAcqURL	WMT_TYPE_STRING
DRM_LicenseID	g_wszWMDRM_LicenseID	WMT_TYPE_STRING
DRM_SourceID	g_wszWMDRM_SourceID	WMT_TYPE_DWORD
DRM_V1LicenseAcqURL	g_wszWMDRM_V1LicenseAcqURL	WMT_TYPE_STRING
Duration	g_wszWMDuration	WMT_TYPE_QWORD
FileSize	g_wszWMFileSize	WMT_TYPE_QWORD
HasArbitraryDataStream	g_wszWMHasArbitraryDataStream	WMT_TYPE_BOOL
HasAttachedImages	g_wszWMHasAttachedImages	WMT_TYPE_BOOL
HasAudio	g_wszWMHasAudio	WMT_TYPE_BOOL
HasFileTransferStream	g_wszWMHasFileTransferStream	WMT_TYPE_BOOL
HasImage	g_wszWMHasImage	WMT_TYPE_BOOL
HasScript	g_wszWMHasScript	WMT_TYPE_BOOL
HasVideo	g_wszWMHasVideo	WMT_TYPE_BOOL
Is_Protected	g_wszWMProtected	WMT_TYPE_BOOL
Is_Trusted	g_wszWMTrusted	WMT_TYPE_BOOL
ISAN	g_wszISAN	WMT_TYPE_STRING
IsVBR	g_wszWMIsVBR	WMT_TYPE_BOOL
NSC_Address	g_wszWMNSCAddress	WMT_TYPE_STRING
NSC_Description	g_wszWMNSCDescription	WMT_TYPE_STRING
NSC_Email	g_wszWMNSCEmail	WMT_TYPE_STRING
NSC_Name	g_wszWMNSCName	WMT_TYPE_STRING
NSC_Phone	g_wszWMNSCPhone	WMT_TYPE_STRING
NumberOfFrames	g_wszWMNumberOfFrames	WMT_TYPE_QWORD
OptimalBitrate	g_wszWMOptimalBitrate	WMT_TYPE_DWORD
PeakValue	g_wszPeakValue	WMT_TYPE_DWORD
Rating	g_wszWMRating	WMT_TYPE_STRING
Seekable	g_wszWMSeekable	WMT_TYPE_BOOL
Signature_Name	g_wszWMSignature_Name	WMT_TYPE_STRING
Stridable	g_wszWMStridable	WMT_TYPE_BOOL
Title	g_wszWMTitle	WMT_TYPE_STRING
